-------------------------------------------------------------------
Date: 7/2/2013 -- 15:29:17 (uptime: 0d, 00h 00m 28s)
-------------------------------------------------------------------
Counter                   | TM Name                   | Value
tcp.syn                   | AFPacketeth34             | 17781
tcp.synack                | AFPacketeth34             | 6410
tcp.rst                   | AFPacketeth34             | 4166
tcp.segment_memcap_drop   | AFPacketeth34             | 128660
tcp.stream_depth_reached  | AFPacketeth34             | 0
tcp.reassembly_memuse     | AFPacketeth34             | 17179918620
tcp.reassembly_gap        | AFPacketeth34             | 101
detect.alert              | AFPacketeth34             | 19
capture.kernel_packets    | AFPacketeth35             | 2016532
capture.kernel_drops      | AFPacketeth35             | 516438
decoder.pkts              | AFPacketeth35             | 1200080
decoder.bytes             | AFPacketeth35             | 961599636
decoder.ipv4              | AFPacketeth35             | 1201381
decoder.ipv6              | AFPacketeth35             | 53642
decoder.ethernet          | AFPacketeth35             | 1200080
decoder.raw               | AFPacketeth35             | 0
decoder.sll               | AFPacketeth35             | 0
decoder.tcp               | AFPacketeth35             | 523666
decoder.udp               | AFPacketeth35             | 708655
decoder.sctp              | AFPacketeth35             | 0
decoder.icmpv4            | AFPacketeth35             | 5441
decoder.icmpv6            | AFPacketeth35             | 1521
decoder.ppp               | AFPacketeth35             | 1641
decoder.pppoe             | AFPacketeth35             | 0
decoder.gre               | AFPacketeth35             | 2146
decoder.vlan              | AFPacketeth35             | 0
decoder.teredo            | AFPacketeth35             | 52785
decoder.ipv4_in_ipv6      | AFPacketeth35             | 0
decoder.ipv6_in_ipv6      | AFPacketeth35             | 0
decoder.avg_pkt_size      | AFPacketeth35             | 801
decoder.max_pkt_size      | AFPacketeth35             | 1514
defrag.ipv4.fragments     | AFPacketeth35             | 5084
defrag.ipv4.reassembled   | AFPacketeth35             | 979
defrag.ipv4.timeouts      | AFPacketeth35             | 0
defrag.ipv6.fragments     | AFPacketeth35             | 903
defrag.ipv6.reassembled   | AFPacketeth35             | 249
defrag.ipv6.timeouts      | AFPacketeth35             | 0
defrag.max_frag_hits      | AFPacketeth35             | 0
tcp.sessions              | AFPacketeth35             | 21928
tcp.ssn_memcap_drop       | AFPacketeth35             | 0
tcp.pseudo                | AFPacketeth35             | 336
tcp.invalid_checksum      | AFPacketeth35             | 0
tcp.no_flow               | AFPacketeth35             | 0
tcp.reused_ssn            | AFPacketeth35             | 5
tcp.memuse                | AFPacketeth35             | 46971872
tcp.syn                   | AFPacketeth35             | 18202
tcp.synack                | AFPacketeth35             | 6568
tcp.rst                   | AFPacketeth35             | 4485
tcp.segment_memcap_drop   | AFPacketeth35             | 164868
tcp.stream_depth_reached  | AFPacketeth35             | 0
tcp.reassembly_memuse     | AFPacketeth35             | 17179919069
tcp.reassembly_gap        | AFPacketeth35             | 101
detect.alert              | AFPacketeth35             | 36
capture.kernel_packets    | AFPacketeth36             | 1965800
capture.kernel_drops      | AFPacketeth36             | 466614
decoder.pkts              | AFPacketeth36             | 1200080
decoder.bytes             | AFPacketeth36             | 938783306
